,name,position,primary_color,secondary_color,badge_url,avatar_url,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,totalTackle,errorLeadToAShot,ownGoals,wasFouled,fouls,totalOffside,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,totalOffside,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,keyPass,expectedAssists,groundWon
0,Igo Gabriel,G,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/981701/image,15.0,14.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,90.0,17.0,7.3,3.0,0.0,0.0,0.0,0.0
1,Newton Junior,D,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/1065370/image,42.0,38.0,4.0,3.0,0.0,0.0,0.0,1.0,3.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,50.0,7.3,7.0,0.0,0.0,0.0,4.0
2,Bastos,D,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/215956/image,38.0,35.0,6.0,5.0,0.0,0.0,0.0,2.0,3.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,90.0,43.0,7.1,3.0,0.0,0.0,0.0,1.0
3,Jefferson Maciel,D,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/1199426/image,34.0,27.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,45.0,6.7,6.0,0.09,0.0,0.0,1.0
4,Júnior Santos,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/922559/image,28.0,25.0,3.0,3.0,0.0,2.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,5.0,4.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,90.0,51.0,8.3,6.0,0.41,1.0,0.2,5.0
5,Kaué Rodrigues Pessanha,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/1609566/image,27.0,22.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,9.0,5.0,1.0,1.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,37.0,7.7,9.0,0.2,2.0,0.28,4.0
6,Jacob Montes,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/1009787/image,14.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,70.0,24.0,6.4,5.0,0.05,1.0,0.06,3.0
7,Marçal,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/143593/image,55.0,44.0,9.0,6.0,0.0,7.0,1.0,1.0,1.0,13.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,66.0,7.3,9.0,0.0,2.0,0.05,3.0
8,Diego Hernández,F,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/1086482/image,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,23.0,7.3,4.0,0.11,1.0,0.09,3.0
9,Janderson,F,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/1462989/image,15.0,14.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,11.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,74.0,28.0,6.9,3.0,0.0,2.0,0.19,5.0
