,id,player_name,team_name,primary_color,secondary_color,badge_url,rating,goals,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,penaltyConversion,totalCross,duelLost,aerialLost,attemptPenaltyMiss,totalLongBalls,goalsConceded,scoringFrequency,yellowRedCards,substitutionsIn,substitutionsOut,goalKicks,ballRecovery,appearances
0,931540,Matheus França,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.7,0.0,0.0,37.0,6.0,43.0,86.05,5.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,88.89,73.0,0.0,0.0,0.0,0.0,4.0,80.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,73.0,0.0,1.0,0.0,0.0,5.0,1.0
0,358548,Léo Pereira,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.68,2.0,2.0,252.0,22.0,274.0,91.97,40.0,3.0,1.0,100.0,14.0,0.0,0.0,0.0,1.0,100.0,5.0,2.0,3.0,13.0,72.22,27.0,44.26,517.0,40.0,0.0,0.0,1.0,18.0,64.29,12.0,3.0,0.0,5.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,34.0,5.0,0.0,28.0,0.0,258.5,0.0,0.0,0.0,1.0,48.0,5.0
0,840219,Pedro,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.66,5.0,5.0,43.0,10.0,53.0,81.13,3.0,3.0,6.0,85.71,4.0,0.0,0.0,0.0,1.0,100.0,19.0,10.0,9.0,1.0,16.67,16.0,33.33,370.0,26.32,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,100.0,1.0,32.0,5.0,0.0,0.0,0.0,74.0,0.0,3.0,1.0,0.0,7.0,5.0
0,981296,Thiaguinho,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.5,1.0,1.0,23.0,4.0,27.0,85.19,2.0,0.0,2.0,100.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,47.06,99.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,2.0,1.0
0,21300,David Luiz,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.45,0.0,0.0,111.0,7.0,118.0,94.07,12.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,50.0,8.0,57.14,206.0,0.0,0.0,0.0,1.0,3.0,42.86,5.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,7.0,0.0,206.0,0.0,0.0,0.0,1.0,8.0,2.0
0,386198,Everton,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.44,1.0,1.0,87.0,24.0,111.0,78.38,9.0,12.0,19.0,76.0,7.0,1.0,0.0,0.0,5.0,41.67,11.0,4.0,7.0,3.0,60.0,34.0,41.98,351.0,9.091,0.0,0.0,0.0,3.0,60.0,2.0,2.0,4.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,47.0,2.0,0.0,5.0,0.0,351.0,0.0,3.0,1.0,0.0,16.0,5.0
0,818473,Ayrton Lucas,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.4,1.0,2.0,242.0,38.0,280.0,86.43,40.0,6.0,8.0,72.73,13.0,0.0,0.0,0.0,4.0,28.57,4.0,2.0,2.0,5.0,83.33,31.0,33.7,491.0,25.0,0.0,0.0,0.0,7.0,46.67,5.0,0.0,2.0,8.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,61.0,1.0,0.0,15.0,0.0,491.0,0.0,1.0,0.0,0.0,43.0,5.0
0,840220,Fabrício Bruno,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.4,0.0,0.0,290.0,15.0,305.0,95.08,53.0,1.0,1.0,100.0,15.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,14.0,63.64,20.0,40.0,521.0,0.0,0.0,0.0,0.0,17.0,77.27,13.0,3.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,8.0,0.0,22.0,0.0,521.0,0.0,0.0,0.0,3.0,37.0,5.0
0,243735,Pablo,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.3,0.0,0.0,68.0,1.0,69.0,98.55,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.67,3.0,50.0,80.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,80.0,0.0,1.0,0.0,0.0,11.0,1.0
0,795291,Bruno Henrique,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.2833333333333,1.0,1.0,83.0,18.0,101.0,82.18,3.0,5.0,14.0,82.35,9.0,0.0,0.0,0.0,2.0,22.22,12.0,4.0,8.0,9.0,60.0,36.0,51.43,336.0,8.333,0.0,0.0,0.0,2.0,100.0,3.0,0.0,8.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,34.0,6.0,0.0,2.0,0.0,336.0,0.0,0.0,4.0,0.0,12.0,6.0
0,877513,Nicolás de la Cruz,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.275,0.0,0.0,123.0,23.0,146.0,84.25,21.0,6.0,5.0,83.33,8.0,0.0,0.0,0.0,2.0,50.0,3.0,1.0,2.0,3.0,50.0,22.0,39.29,293.0,0.0,0.0,0.0,1.0,8.0,80.0,5.0,1.0,7.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,34.0,3.0,0.0,10.0,0.0,293.0,0.0,4.0,0.0,0.0,15.0,4.0
0,1459764,Lorran Lucas,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.25,0.0,1.0,41.0,12.0,53.0,77.36,5.0,2.0,13.0,72.22,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,19.0,38.78,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,30.0,5.0,0.0,1.0,0.0,214.0,0.0,0.0,0.0,0.0,5.0,2.0
0,1170912,Igor Jesus,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.2,0.0,0.0,51.0,1.0,52.0,98.08,6.0,0.0,3.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,100.0,11.0,44.0,87.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,87.0,0.0,1.0,0.0,0.0,6.0,1.0
0,1170955,Petterson,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.15,0.0,0.0,43.0,13.0,56.0,76.79,3.0,3.0,3.0,60.0,5.0,0.0,0.0,0.0,4.0,50.0,2.0,1.0,1.0,0.0,0.0,9.0,45.0,197.0,0.0,0.0,0.0,0.0,2.0,33.33,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,11.0,1.0,0.0,6.0,0.0,197.0,0.0,2.0,0.0,0.0,6.0,2.0
0,1134200,Wesley França,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,7.1,0.0,0.0,165.0,21.0,186.0,88.71,15.0,3.0,8.0,80.0,18.0,0.0,0.0,0.0,6.0,37.5,2.0,0.0,2.0,4.0,44.44,30.0,32.26,388.0,0.0,0.0,0.0,0.0,2.0,50.0,8.0,3.0,7.0,7.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,63.0,5.0,0.0,4.0,0.0,388.0,0.0,0.0,2.0,0.0,42.0,5.0
0,1140986,Agustín Rossi,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,6.98,0.0,0.0,59.0,10.0,69.0,85.51,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,0.0,0.0,0.0,0.0,7.0,43.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,517.0,0.0,0.0,0.0,25.0,10.0,5.0
0,358554,Gabriel Barbosa,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,6.9666666666667,2.0,2.0,42.0,6.0,48.0,87.5,2.0,2.0,1.0,33.33,1.0,0.0,0.0,0.0,1.0,50.0,14.0,8.0,6.0,0.0,0.0,4.0,22.22,310.0,14.29,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,14.0,2.0,1.0,1.0,0.0,155.0,0.0,1.0,4.0,0.0,0.0,6.0
0,1105835,Matheus Cunha,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,6.9666666666667,0.0,0.0,70.0,12.0,82.0,85.37,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,0.0,0.0,16.0,59.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,319.0,0.0,0.0,0.0,26.0,16.0,3.0
0,311456,Guillermo Varela,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,6.94,1.0,1.0,142.0,15.0,157.0,90.45,16.0,1.0,5.0,71.43,11.0,0.0,0.0,0.0,4.0,66.67,1.0,1.0,0.0,4.0,30.77,19.0,32.2,365.0,100.0,0.0,0.0,0.0,3.0,42.86,3.0,3.0,2.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,40.0,9.0,0.0,7.0,0.0,365.0,0.0,2.0,1.0,0.0,27.0,5.0
0,1588180,Rayan Lucas,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,6.875,0.0,0.0,108.0,17.0,125.0,86.4,17.0,1.0,1.0,100.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,6.0,75.0,21.0,48.84,257.0,0.0,0.0,0.0,0.0,3.0,37.5,2.0,1.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,2.0,0.0,8.0,0.0,257.0,0.0,0.0,2.0,0.0,23.0,4.0
0,611876,Gerson,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,6.85,0.0,1.0,226.0,25.0,251.0,90.04,36.0,5.0,5.0,62.5,14.0,1.0,0.0,0.0,2.0,50.0,3.0,2.0,1.0,3.0,33.33,30.0,28.3,469.0,0.0,0.0,0.0,0.0,8.0,72.73,4.0,1.0,13.0,15.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,76.0,6.0,0.0,11.0,0.0,469.0,0.0,2.0,1.0,0.0,29.0,6.0
0,1116390,Werton,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,6.85,0.0,0.0,23.0,14.0,37.0,62.16,6.0,0.0,9.0,75.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,33.33,13.0,39.39,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,20.0,2.0,0.0,2.0,0.0,193.0,0.0,2.0,0.0,0.0,4.0,2.0
0,1145106,Evertton,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,6.85,0.0,0.0,83.0,9.0,92.0,90.22,11.0,0.0,2.0,100.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,60.0,16.0,51.61,214.0,0.0,0.0,0.0,0.0,4.0,57.14,1.0,2.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,2.0,0.0,7.0,0.0,214.0,0.0,0.0,0.0,0.0,15.0,2.0
0,1647585,Iago Teodoro da Silva Nogueira,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,6.8,0.0,0.0,36.0,1.0,37.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,100.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,0.0,0.0,1.0,0.0,2.0,1.0
