,name,position,primary_color,secondary_color,badge_url,avatar_url,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,totalTackle,errorLeadToAShot,ownGoals,wasFouled,fouls,totalOffside,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,totalOffside,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,keyPass,expectedAssists,groundWon
0,Gatito Fernández,G,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/840027/image,13.0,13.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,13.0,6.6,4.0,0.0,0.0,0.0,0.0
1,Danilo Barbosa,D,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/330063/image,43.0,37.0,3.0,1.0,0.0,1.0,0.0,5.0,5.0,14.0,13.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,57.0,7.0,11.0,0.36,0.0,0.0,8.0
2,Lucas Halter,D,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/905450/image,48.0,46.0,9.0,7.0,0.0,0.0,0.0,3.0,5.0,9.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,53.0,7.0,10.0,0.0,0.0,0.0,2.0
3,Alexander Barboza,D,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/801044/image,71.0,54.0,11.0,1.0,0.0,3.0,1.0,3.0,1.0,6.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,81.0,6.9,18.0,0.26,0.0,0.0,4.0
4,Victor Sá,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/799634/image,35.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0,8.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,50.0,7.2,12.0,0.0,2.0,0.16,5.0
5,Tchê Tchê,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/840398/image,57.0,46.0,12.0,8.0,0.0,1.0,0.0,0.0,0.0,13.0,12.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,84.0,7.7,13.0,0.05,0.0,0.0,12.0
6,Marlon Freitas,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/840202/image,38.0,33.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,44.0,6.9,4.0,0.0,1.0,0.07,1.0
7,Hugo,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/1018915/image,44.0,26.0,7.0,4.0,0.0,8.0,0.0,4.0,1.0,11.0,10.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,55.0,7.4,13.0,0.0,1.0,0.26,9.0
8,Eduardo,F,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/76507/image,23.0,21.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,7.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,32.0,7.0,4.0,0.0,1.0,0.0,7.0
9,Tiquinho Soares,F,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/789100/image,13.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,11.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,35.0,7.5,10.0,0.13,1.0,0.03,9.0
